yr,sex,FirstForename,number,rank,position
2010,B,Jaxon,22,209,"  209="
2010,B,Keiran,22,209,"  209="
2010,B,Magnus,22,209,"  209="
2010,B,Mateusz,22,209,"  209="
2010,B,Mckenzie,22,209,"  209="
2010,B,Nathaniel,22,209,"  209="
2010,B,Felix,21,218,"  218="
2010,B,Grant,21,218,"  218="
2010,B,Zander,21,218,"  218="
2010,B,Antoni,20,221,"  221="
2010,B,Curtis,20,221,"  221="
2010,B,Kacper,20,221,"  221="
2010,B,Layton,20,221,"  221="
2010,B,Niall,20,221,"  221="
2010,B,Travis,20,221,"  221="
2010,B,Tristan,20,221,"  221="
2010,B,Adrian,19,228,"  228="
2010,B,Flynn,19,228,"  228="
2010,B,Hugh,19,228,"  228="
2010,B,Ian,19,228,"  228="
2010,B,Kaden,19,228,"  228="
2010,B,Kieron,19,228,"  228="
2010,B,Lochlan,19,228,"  228="
2010,B,Morgan,19,228,"  228="
2010,B,Nico,19,228,"  228="
2010,B,Ronan,19,228,"  228="
2010,B,Caelan,18,238,"  238="
2010,B,Christian,18,238,"  238="
2010,B,Jaden,18,238,"  238="
2010,B,Justin,18,238,"  238="
2010,B,Robin,18,238,"  238="
2010,B,Eli,17,243,"  243="
2010,B,Frankie,17,243,"  243="
2010,B,Lauchlan,17,243,"  243="
2010,B,Lennox,17,243,"  243="
2010,B,Marco,17,243,"  243="
2010,B,Mikey,17,243,"  243="
2010,B,Vincent,17,243,"  243="
2010,B,Arthur,16,250,"  250="
2010,B,Aston,16,250,"  250="
2010,B,Boyd,16,250,"  250="
2010,B,Casey,16,250,"  250="
2010,B,Dominik,16,250,"  250="
2010,B,Iain,16,250,"  250="
2010,B,Jaiden,16,250,"  250="
2010,B,Jan,16,250,"  250="
2010,B,Keegan,16,250,"  250="
2010,B,Mac,16,250,"  250="
2010,B,Marcel,16,250,"  250="
2010,B,Ruari,16,250,"  250="
2010,B,Rudy,16,250,"  250="
2010,B,Abdul,15,263,"  263="
2010,B,Bradley,15,263,"  263="
2010,B,Cohen,15,263,"  263="
2010,B,Damian,15,263,"  263="
2010,B,Damien,15,263,"  263="
2010,B,Dexter,15,263,"  263="
2010,B,Dillon,15,263,"  263="
2010,B,Elliott,15,263,"  263="
2010,B,Hugo,15,263,"  263="
2010,B,Leighton,15,263,"  263="
2010,B,Marley,15,263,"  263="
2010,B,Neil,15,263,"  263="
2010,B,Ruben,15,263,"  263="
2010,B,Szymon,15,263,"  263="
2010,B,Zane,15,263,"  263="
2010,B,Ahmed,14,278,"  278="
2010,B,Ayaan,14,278,"  278="
2010,B,Conner,14,278,"  278="
2010,B,Hector,14,278,"  278="
2010,B,Miller,14,278,"  278="
2010,B,Milo,14,278,"  278="
2010,B,Quinn,14,278,"  278="
2010,B,Reilly,14,278,"  278="
2010,B,Roman,14,278,"  278="
2010,B,Shane,14,278,"  278="
2010,B,Stewart,14,278,"  278="
2010,B,Brogan,13,289,"  289="
2010,B,Donald,13,289,"  289="
2010,B,Elijah,13,289,"  289="
2010,B,Hunter,13,289,"  289="
2010,B,Ibrahim,13,289,"  289="
2010,B,Jasper,13,289,"  289="
2010,B,Kane,13,289,"  289="
2010,B,Lukas,13,289,"  289="
2010,B,Michal,13,289,"  289="
2010,B,Nairn,13,289,"  289="
2010,B,Ramsay,13,289,"  289="
2010,B,Ruairi,13,289,"  289="
2010,B,Rudi,13,289,"  289="
2010,B,Simon,13,289,"  289="
2010,B,Barry,12,303,"  303="
2010,B,Bobby,12,303,"  303="
2010,B,Brian,12,303,"  303="
2010,B,Cruz,12,303,"  303="
2010,B,Eoin,12,303,"  303="
2010,B,Frazer,12,303,"  303="
2010,B,Jai,12,303,"  303="
2010,B,Jak,12,303,"  303="
2010,B,Jenson,12,303,"  303="
2010,B,Leyton,12,303,"  303="
2010,B,Muhammed,12,303,"  303="
2010,B,Nicolas,12,303,"  303="
2010,B,Patryk,12,303,"  303="
2010,B,Roan,12,303,"  303="
2010,B,Saul,12,303,"  303="
2010,B,Tommy,12,303,"  303="
2010,B,Abdullah,11,319,"  319="
2010,B,Aedan,11,319,"  319="
2010,B,Alfred,11,319,"  319="
2010,B,Arlo,11,319,"  319="
2010,B,Bartosz,11,319,"  319="
2010,B,Beau,11,319,"  319="
2010,B,Cailean,11,319,"  319="
2010,B,Clark,11,319,"  319="
2010,B,Daniyal,11,319,"  319="
2010,B,Eric,11,319,"  319="
2010,B,Graeme,11,319,"  319="
2010,B,Graham,11,319,"  319="
2010,B,Greg,11,319,"  319="
2010,B,Hamza,11,319,"  319="
2010,B,Jaxson,11,319,"  319="
2010,B,Johnny,11,319,"  319="
2010,B,Jonah,11,319,"  319="
2010,B,Marshall,11,319,"  319="
2010,B,Micah,11,319,"  319="
2010,B,Rayan,11,319,"  319="
2010,B,Reiss,11,319,"  319="
2010,B,Rohan,11,319,"  319="
2010,B,Ryley,11,319,"  319="
2010,B,Saif,11,319,"  319="
2010,B,Victor,11,319,"  319="
2010,B,Ajay,10,344,"  344="
2010,B,Brendan,10,344,"  344="
2010,B,Brooklyn,10,344,"  344="
2010,B,Carter,10,344,"  344="
2010,B,Coby,10,344,"  344="
2010,B,Cory,10,344,"  344="
2010,B,Dale,10,344,"  344="
2010,B,Gavin,10,344,"  344="
2010,B,Ivan,10,344,"  344="
2010,B,Kelvin,10,344,"  344="
2010,B,Kenneth,10,344,"  344="
2010,B,Kody,10,344,"  344="
2010,B,Mathew,10,344,"  344="
2010,B,Mikolaj,10,344,"  344="
2010,B,Miles,10,344,"  344="
2010,B,Mohamed,10,344,"  344="
2010,B,Myles,10,344,"  344="
2010,B,Olivier,10,344,"  344="
2010,B,Piotr,10,344,"  344="
2010,B,Rayyan,10,344,"  344="
2010,B,Shea,10,344,"  344="
2010,B,Wiktor,10,344,"  344="
2010,B,Brayden,9,366,"  366="
2010,B,Caden,9,366,"  366="
2010,B,Cain,9,366,"  366="
2010,B,Conall,9,366,"  366="
2010,B,Daryl,9,366,"  366="
2010,B,Devon,9,366,"  366="
2010,B,Emmanuel,9,366,"  366="
2010,B,Fletcher,9,366,"  366="
2010,B,Franciszek,9,366,"  366="
2010,B,Garry,9,366,"  366="
2010,B,Kalvin,9,366,"  366="
2010,B,Oliwier,9,366,"  366="
2010,B,Omar,9,366,"  366="
2010,B,Regan,9,366,"  366="
2010,B,Syed,9,366,"  366="
2010,B,Warren,9,366,"  366="
2010,B,Xavier,9,366,"  366="
2010,B,Aleksander,8,383,"  383="
2010,B,Asher,8,383,"  383="
2010,B,Danyl,8,383,"  383="
2010,B,Glen,8,383,"  383="
2010,B,Kris,8,383,"  383="
2010,B,Kyran,8,383,"  383="
2010,B,Lawrie,8,383,"  383="
2010,B,Lyall,8,383,"  383="
2010,B,Maison,8,383,"  383="
2010,B,Matteo,8,383,"  383="
2010,B,Murdo,8,383,"  383="
2010,B,Mylo,8,383,"  383="
2010,B,Phoenix,8,383,"  383="
2010,B,Stanley,8,383,"  383="
2010,B,Will,8,383,"  383="
2010,B,Zain,8,383,"  383="
2010,B,Andy,7,399,"  399="
2010,B,Anton,7,399,"  399="
2010,B,Armaan,7,399,"  399="
2010,B,Cairn,7,399,"  399="
2010,B,Conrad,7,399,"  399="
2010,B,Dawid,7,399,"  399="
2010,B,Derren,7,399,"  399="
2010,B,Francis,7,399,"  399="
2010,B,Gareth,7,399,"  399="
2010,B,Gordon,7,399,"  399="
2010,B,Haris,7,399,"  399="
2010,B,Jaydon,7,399,"  399="
2010,B,Joey,7,399,"  399="
2010,B,Leland,7,399,"  399="
2010,B,Leonardo,7,399,"  399="
2010,B,Maksymilian,7,399,"  399="
2010,B,Malcolm,7,399,"  399="
2010,B,Nikodem,7,399,"  399="
2010,B,Philip,7,399,"  399="
2010,B,Ruaraidh,7,399,"  399="
2010,B,Russell,7,399,"  399="
2010,B,Santiago,7,399,"  399="
2010,B,Shae,7,399,"  399="
2010,B,Shayne,7,399,"  399="
2010,B,Torin,7,399,"  399="
2010,B,Vinnie,7,399,"  399="
2010,B,Wojciech,7,399,"  399="
2010,B,Aarron,6,426,"  426="
2010,B,Ahmad,6,426,"  426="
2010,B,Aidyn,6,426,"  426="
2010,B,Albert,6,426,"  426="
2010,B,Alec,6,426,"  426="
2010,B,Amir,6,426,"  426="
2010,B,Antony,6,426,"  426="
2010,B,Archibald,6,426,"  426="
2010,B,Aydin,6,426,"  426="
2010,B,Baillie,6,426,"  426="
2010,B,Bryan,6,426,"  426="
2010,B,Calan,6,426,"  426="
2010,B,Cillian,6,426,"  426="
2010,B,Clay,6,426,"  426="
2010,B,Conlan,6,426,"  426="
2010,B,Connell,6,426,"  426="
2010,B,Cullen,6,426,"  426="
2010,B,Dara,6,426,"  426="
2010,B,Devin,6,426,"  426="
2010,B,Devlin,6,426,"  426="
2010,B,Donnie,6,426,"  426="
2010,B,Dorian,6,426,"  426="
2010,B,Dougal,6,426,"  426="
2010,B,Elias,6,426,"  426="
2010,B,Eoghan,6,426,"  426="
2010,B,Fionn,6,426,"  426="
2010,B,Fred,6,426,"  426="
2010,B,Glenn,6,426,"  426="
2010,B,Igor,6,426,"  426="
2010,B,Innis,6,426,"  426="
2010,B,Ismail,6,426,"  426="
2010,B,Jensen,6,426,"  426="
2010,B,Jimmy,6,426,"  426="
2010,B,Kobi,6,426,"  426="
2010,B,Korey,6,426,"  426="
2010,B,Laurence,6,426,"  426="
2010,B,Lucca,6,426,"  426="
2010,B,Luis,6,426,"  426="
2010,B,Musa,6,426,"  426="
2010,B,Natan,6,426,"  426="
2010,B,Olaf,6,426,"  426="
2010,B,Oran,6,426,"  426="
2010,B,Ray,6,426,"  426="
2010,B,Raymond,6,426,"  426="
2010,B,Reegan,6,426,"  426="
2010,B,Remy,6,426,"  426="
2010,B,Richie,6,426,"  426="
2010,B,Ritchie,6,426,"  426="
2010,B,Romeo,6,426,"  426="
2010,B,Ronnie,6,426,"  426="
2010,B,Rylan,6,426,"  426="
2010,B,Rylie,6,426,"  426="
2010,B,Troy,6,426,"  426="
2010,B,Tymon,6,426,"  426="
2010,B,Yousef,6,426,"  426="
2010,B,Yusuf,6,426,"  426="
2010,B,Aaran,5,482,"  482="
2010,B,Aden,5,482,"  482="
2010,B,Ally,5,482,"  482="
2010,B,Antonio,5,482,"  482="
2010,B,Bo,5,482,"  482="
2010,B,Cade,5,482,"  482="
2010,B,Callen,5,482,"  482="
2010,B,Carlo,5,482,"  482="
2010,B,Casper,5,482,"  482="
2010,B,Cormac,5,482,"  482="
2010,B,Damon,5,482,"  482="
2010,B,Darragh,5,482,"  482="
2010,B,Darryl,5,482,"  482="
2010,B,Davis,5,482,"  482="
2010,B,Derek,5,482,"  482="
2010,B,Eddie,5,482,"  482="
2010,B,Emil,5,482,"  482="
2010,B,Emilio,5,482,"  482="
2010,B,Enzo,5,482,"  482="
2010,B,Ewen,5,482,"  482="
2010,B,Frank,5,482,"  482="
2010,B,Guy,5,482,"  482="
2010,B,Hassan,5,482,"  482="
2010,B,Isa,5,482,"  482="
2010,B,Julian,5,482,"  482="
2010,B,Kade,5,482,"  482="
2010,B,Kaidyn,5,482,"  482="
2010,B,Kamil,5,482,"  482="
2010,B,Karol,5,482,"  482="
2010,B,Kenzi,5,482,"  482="
2010,B,Kole,5,482,"  482="
2010,B,Kristopher,5,482,"  482="
2010,B,Lincoln,5,482,"  482="
2010,B,Lochlann,5,482,"  482="
2010,B,Luka,5,482,"  482="
2010,B,Maciej,5,482,"  482="
2010,B,Malachy,5,482,"  482="
2010,B,Markus,5,482,"  482="
2010,B,Maximillian,5,482,"  482="
2010,B,Muir,5,482,"  482="
2010,B,Nikolas,5,482,"  482="
2010,B,Oisin,5,482,"  482="
2010,B,Otis,5,482,"  482="
2010,B,Pawel,5,482,"  482="
2010,B,Preston,5,482,"  482="
2010,B,Ralph,5,482,"  482="
2010,B,Rayhan,5,482,"  482="
2010,B,Reagan,5,482,"  482="
2010,B,Rehan,5,482,"  482="
2010,B,Rhuari,5,482,"  482="
2010,B,Rhyan,5,482,"  482="
2010,B,Roddy,5,482,"  482="
2010,B,Rylee,5,482,"  482="
2010,B,Sami,5,482,"  482="
2010,B,Sandy,5,482,"  482="
2010,B,Scot,5,482,"  482="
2010,B,Spencer,5,482,"  482="
2010,B,Stanislaw,5,482,"  482="
2010,B,Teejay,5,482,"  482="
2010,B,Theodore,5,482,"  482="
2010,B,Tomas,5,482,"  482="
2010,B,Tomasz,5,482,"  482="
2010,B,Tony,5,482,"  482="
2010,B,Tymoteusz,5,482,"  482="
2010,B,Wilson,5,482,"  482="
2010,B,Zakariya,5,482,"  482="
2010,B,Alessandro,4,548,"  548="
2010,B,Alexandre,4,548,"  548="
2010,B,Alisdair,4,548,"  548="
2010,B,Aran,4,548,"  548="
2010,B,Ari,4,548,"  548="
2010,B,Artur,4,548,"  548="
2010,B,Aryan,4,548,"  548="
2010,B,Ashwin,4,548,"  548="
2010,B,Aulay,4,548,"  548="
2010,B,Axel,4,548,"  548="
2010,B,Bernard,4,548,"  548="
2010,B,Bilal,4,548,"  548="
2010,B,Blaine,4,548,"  548="
2010,B,Brandan,4,548,"  548="
2010,B,Bryce,4,548,"  548="
2010,B,Bryden,4,548,"  548="
2010,B,Bryn,4,548,"  548="
2010,B,Calder,4,548,"  548="
2010,B,Cale,4,548,"  548="
2010,B,Cieran,4,548,"  548="
2010,B,Codey,4,548,"  548="
2010,B,Coen,4,548,"  548="
2010,B,Conal,4,548,"  548="
2010,B,Crawford,4,548,"  548="
2010,B,Daragh,4,548,"  548="
2010,B,Darwin,4,548,"  548="
2010,B,Dennis,4,548,"  548="
2010,B,Dermot,4,548,"  548="
2010,B,Eesa,4,548,"  548="
2010,B,Emilis,4,548,"  548="
2010,B,Eryk,4,548,"  548="
2010,B,Etienne,4,548,"  548="
2010,B,Faizan,4,548,"  548="
2010,B,Freddy,4,548,"  548="
2010,B,Fynn,4,548,"  548="
2010,B,Greig,4,548,"  548="
2010,B,Haroon,4,548,"  548="
2010,B,Haydn,4,548,"  548="
2010,B,Hubert,4,548,"  548="
2010,B,Hudson,4,548,"  548="
2010,B,Humza,4,548,"  548="
2010,B,Ivor,4,548,"  548="
2010,B,Jared,4,548,"  548="
2010,B,Jaydan,4,548,"  548="
2010,B,Jayson,4,548,"  548="
2010,B,Kabir,4,548,"  548="
2010,B,Kaidan,4,548,"  548="
2010,B,Kal,4,548,"  548="
2010,B,Kallan,4,548,"  548="
2010,B,Kenley,4,548,"  548="
2010,B,Khai,4,548,"  548="
2010,B,Kier,4,548,"  548="
2010,B,Kingsley,4,548,"  548="
2010,B,Kiran,4,548,"  548="
2010,B,Kodi,4,548,"  548="
2010,B,Koen,4,548,"  548="
2010,B,Konrad,4,548,"  548="
2010,B,Kristian,4,548,"  548="
2010,B,Kristofer,4,548,"  548="
2010,B,Kye,4,548,"  548="
2010,B,Kyron,4,548,"  548="
2010,B,Lleyton,4,548,"  548="
2010,B,Malachi,4,548,"  548="
2010,B,Maximilian,4,548,"  548="
2010,B,Maximus,4,548,"  548="
2010,B,Milosz,4,548,"  548="
2010,B,Montgomery,4,548,"  548="
2010,B,Munro,4,548,"  548="
2010,B,Nataniel,4,548,"  548="
2010,B,Nicol,4,548,"  548="
2010,B,Niko,4,548,"  548="
2010,B,Olli,4,548,"  548="
2010,B,Pierce,4,548,"  548="
2010,B,Reese,4,548,"  548="
2010,B,Reily,4,548,"  548="
2010,B,Rhyley,4,548,"  548="
2010,B,Rian,4,548,"  548="
2010,B,Roderick,4,548,"  548="
2010,B,Ronald,4,548,"  548="
2010,B,Rossi,4,548,"  548="
2010,B,Ruan,4,548,"  548="
2010,B,Sameer,4,548,"  548="
2010,B,Seumas,4,548,"  548="
2010,B,Shaye,4,548,"  548="
2010,B,Solomon,4,548,"  548="
2010,B,Taha,4,548,"  548="
2010,B,Timothy,4,548,"  548="
2010,B,Tobias,4,548,"  548="
2010,B,Ty,4,548,"  548="
2010,B,Usman,4,548,"  548="
2010,B,Abdirahman,3,638,"  638="
2010,B,Abel,3,638,"  638="
2010,B,Abraham,3,638,"  638="
2010,B,Adan,3,638,"  638="
2010,B,Adel,3,638,"  638="
2010,B,Alexzander,3,638,"  638="
2010,B,Alix,3,638,"  638="
2010,B,Ameer,3,638,"  638="
2010,B,Andrei,3,638,"  638="
2010,B,Aodhan,3,638,"  638="
2010,B,Arden,3,638,"  638="
2010,B,Arin,3,638,"  638="
2010,B,Arjun,3,638,"  638="
2010,B,Aron,3,638,"  638="
2010,B,Ayan,3,638,"  638="
2010,B,Ayman,3,638,"  638="
2010,B,Ayyan,3,638,"  638="
2010,B,Azaan,3,638,"  638="
2010,B,Azan,3,638,"  638="
2010,B,Baxter,3,638,"  638="
2010,B,Bentley,3,638,"  638="
2010,B,Blane,3,638,"  638="
2010,B,Bodhi,3,638,"  638="
2010,B,Braiden,3,638,"  638="
2010,B,Brandyn,3,638,"  638="
2010,B,Brendon,3,638,"  638="
2010,B,Bruno,3,638,"  638="
2010,B,Byron,3,638,"  638="
2010,B,Cadan,3,638,"  638="
2010,B,Cai,3,638,"  638="
2010,B,Chang,3,638,"  638="
2010,B,Chase,3,638,"  638="
2010,B,Chris,3,638,"  638="
2010,B,Codi,3,638,"  638="
2010,B,Codie,3,638,"  638="
2010,B,Cody-James,3,638,"  638="
2010,B,Colby,3,638,"  638="
2010,B,Colton,3,638,"  638="
2010,B,Conan,3,638,"  638="
2010,B,Conlon,3,638,"  638="
2010,B,Connal,3,638,"  638="
2010,B,Corbin,3,638,"  638="
2010,B,Corin,3,638,"  638="
2010,B,Cosmo,3,638,"  638="
2010,B,Daniels,3,638,"  638="
2010,B,Deacon,3,638,"  638="
2010,B,Declyn,3,638,"  638="
2010,B,Denis,3,638,"  638="
2010,B,Derry,3,638,"  638="
2010,B,Devyn,3,638,"  638="
2010,B,Dillan,3,638,"  638="
2010,B,Eachann,3,638,"  638="
2010,B,Eden,3,638,"  638="
2010,B,Edgar,3,638,"  638="
2010,B,Edmund,3,638,"  638="
2010,B,Erik,3,638,"  638="
2010,B,Fabian,3,638,"  638="
2010,B,Faris,3,638,"  638="
2010,B,Finnlay,3,638,"  638="
2010,B,Fionnlagh,3,638,"  638="
2010,B,Franco,3,638,"  638="
2010,B,Frederic,3,638,"  638="
2010,B,Gabrielius,3,638,"  638="
2010,B,Gene,3,638,"  638="
2010,B,Gerard,3,638,"  638="
2010,B,Ghulam,3,638,"  638="
2010,B,Gino,3,638,"  638="
2010,B,Gio,3,638,"  638="
2010,B,Haaris,3,638,"  638="
2010,B,Hasan,3,638,"  638="
2010,B,Hashim,3,638,"  638="
2010,B,Huzaifa,3,638,"  638="
2010,B,Ieuan,3,638,"  638="
2010,B,Ilyas,3,638,"  638="
2010,B,Imran,3,638,"  638="
2010,B,Isaiah,3,638,"  638="
2010,B,Ismaeel,3,638,"  638="
2010,B,Jac,3,638,"  638="
2010,B,Jace,3,638,"  638="
2010,B,Jamieson,3,638,"  638="
2010,B,Jayce,3,638,"  638="
2010,B,Jaydn,3,638,"  638="
2010,B,Jeremy,3,638,"  638="
2010,B,Jia,3,638,"  638="
2010,B,John-Paul,3,638,"  638="
2010,B,Jonathon,3,638,"  638="
2010,B,Jordon,3,638,"  638="
2010,B,Kaan,3,638,"  638="
2010,B,Kaelan,3,638,"  638="
2010,B,Kain,3,638,"  638="
2010,B,Kamran,3,638,"  638="
2010,B,Kamron,3,638,"  638="
2010,B,Kayleb,3,638,"  638="
2010,B,Keane,3,638,"  638="
2010,B,Keelan,3,638,"  638="
2010,B,Kegan,3,638,"  638="
2010,B,Kellen,3,638,"  638="
2010,B,Kevins,3,638,"  638="
2010,B,Kieren,3,638,"  638="
2010,B,Kobe,3,638,"  638="
2010,B,Koby,3,638,"  638="
2010,B,Krystian,3,638,"  638="
2010,B,Ksawery,3,638,"  638="
2010,B,Kyan,3,638,"  638="
2010,B,Laiton,3,638,"  638="
2010,B,Lance,3,638,"  638="
